_id,data_giorno,giorno,totale_transiti_giornalieri_h24,totale_transiti_giornalieri_7.30_19.30_autoveicoli,totale_transiti_giornalieri_7.30_19.30_ciclomotori_motocicli,totale_transiti_giornalieri_00.00_7.29_autoveicoli,totale_transiti_giornalieri_00.00_7.29_ciclomotori_motocicli,totale_transiti_giornalieri_19.30_23.59_autoveicoli,totale_transiti_giornalieri_19.30_23.59_ciclomotori_motocicli
1,2024-05-31T00:00:00,venerdì,146673,81679,19980,15251,1053,25677,3033
2,2024-05-30T00:00:00,giovedì,145193,81823,23816,14164,1180,21954,2256
3,2024-05-29T00:00:00,mercoledì,149124,81150,27747,13758,1335,21261,3873
4,2024-05-28T00:00:00,martedì,144932,79639,27034,12636,1261,20625,3737
5,2024-05-27T00:00:00,lunedì,133736,75512,23498,13425,1179,18351,1771
6,2024-05-26T00:00:00,domenica,97600,55308,8178,12636,1130,18329,2019
7,2024-05-25T00:00:00,sabato,121058,70060,11856,13847,675,21578,3042
8,2024-05-24T00:00:00,venerdì,141996,75716,24010,15416,1525,23142,2187
9,2024-05-23T00:00:00,giovedì,142150,83474,19634,13791,891,21418,2942
10,2024-05-22T00:00:00,mercoledì,143384,80266,25075,12992,1405,21295,2351
11,2024-05-21T00:00:00,martedì,125612,71969,19522,12607,639,17654,3221
12,2024-05-20T00:00:00,lunedì,134114,75815,23855,13266,1173,18655,1350
13,2024-05-19T00:00:00,domenica,101498,57487,9375,12940,950,18196,2550
14,2024-05-18T00:00:00,sabato,127726,71307,15096,14047,1456,23068,2752
15,2024-05-17T00:00:00,venerdì,142851,74806,24911,14627,1249,23417,3841
16,2024-05-16T00:00:00,giovedì,138810,83919,16059,14397,803,21569,2063
17,2024-05-15T00:00:00,mercoledì,131986,87411,8035,13766,465,21174,1135
18,2024-05-14T00:00:00,martedì,141960,80303,25780,12356,1165,20712,1644
19,2024-05-13T00:00:00,lunedì,131535,76278,21602,12902,900,17280,2573
